Year,Month,Day,Hour,Minute,Date,Time,Snaps
2018,6,15,21,0,06/15/2018,21:00:00,1334
2018,6,15,21,15,06/15/2018,21:15:00,1393
2018,6,15,21,30,06/15/2018,21:30:00,1427
2018,6,15,21,45,06/15/2018,21:45:00,1402
2018,6,15,22,0,06/15/2018,22:00:00,1494
2018,6,15,22,15,06/15/2018,22:15:00,1588
2018,6,15,22,30,06/15/2018,22:30:00,1547
2018,6,15,22,45,06/15/2018,22:45:00,1477
2018,6,15,23,0,06/15/2018,23:00:00,1543
2018,6,15,23,15,06/15/2018,23:15:00,1478
2018,6,15,23,30,06/15/2018,23:30:00,1466
2018,6,15,23,45,06/15/2018,23:45:00,1486
2018,6,16,0,0,06/16/2018,00:00:00,1485
2018,6,16,0,15,06/16/2018,00:15:00,1515
2018,6,16,0,30,06/16/2018,00:30:00,1492
2018,6,16,0,45,06/16/2018,00:45:00,1486
2018,6,16,1,0,06/16/2018,01:00:00,1537
2018,6,16,1,15,06/16/2018,01:15:00,1487
2018,6,16,1,30,06/16/2018,01:30:00,1522
2018,6,16,1,45,06/16/2018,01:45:00,1436
2018,6,16,2,0,06/16/2018,02:00:00,1462
2018,6,16,2,15,06/16/2018,02:15:00,1483
2018,6,16,2,30,06/16/2018,02:30:00,1486
2018,6,16,2,45,06/16/2018,02:45:00,1431
2018,6,16,3,0,06/16/2018,03:00:00,1469
2018,6,16,3,15,06/16/2018,03:15:00,1509
2018,6,16,3,30,06/16/2018,03:30:00,1494
2018,6,16,3,45,06/16/2018,03:45:00,1559
2018,6,16,4,0,06/16/2018,04:00:00,1489
2018,6,16,4,15,06/16/2018,04:15:00,1402
2018,6,16,4,30,06/16/2018,04:30:00,1448
2018,6,16,4,45,06/16/2018,04:45:00,1445
2018,6,16,5,0,06/16/2018,05:00:00,1480
2018,6,16,5,15,06/16/2018,05:15:00,1448
2018,6,16,5,30,06/16/2018,05:30:00,1493
2018,6,16,5,45,06/16/2018,05:45:00,1464
2018,6,16,6,0,06/16/2018,06:00:00,1406
2018,6,16,6,15,06/16/2018,06:15:00,1490
2018,6,16,6,30,06/16/2018,06:30:00,1503
2018,6,16,6,45,06/16/2018,06:45:00,1447
2018,6,16,7,0,06/16/2018,07:00:00,1447
2018,6,16,7,15,06/16/2018,07:15:00,1502
2018,6,16,7,30,06/16/2018,07:30:00,1424
2018,6,16,7,45,06/16/2018,07:45:00,1499
2018,6,16,8,0,06/16/2018,08:00:00,1504
2018,6,16,8,15,06/16/2018,08:15:00,1467
2018,6,16,8,30,06/16/2018,08:30:00,1576
2018,6,16,8,45,06/16/2018,08:45:00,1443
2018,6,16,9,0,06/16/2018,09:00:00,1505
2018,6,16,9,15,06/16/2018,09:15:00,1440
2018,6,16,9,30,06/16/2018,09:30:00,1376
2018,6,16,9,45,06/16/2018,09:45:00,1469
2018,6,16,10,0,06/16/2018,10:00:00,1416
2018,6,16,10,15,06/16/2018,10:15:00,1388
2018,6,16,10,30,06/16/2018,10:30:00,1432
2018,6,16,10,45,06/16/2018,10:45:00,1420
2018,6,16,11,0,06/16/2018,11:00:00,1305
2018,6,16,11,15,06/16/2018,11:15:00,1424
2018,6,16,11,30,06/16/2018,11:30:00,1409
2018,6,16,11,45,06/16/2018,11:45:00,1378
2018,6,16,12,0,06/16/2018,12:00:00,1422
2018,6,16,12,15,06/16/2018,12:15:00,1434
2018,6,16,12,30,06/16/2018,12:30:00,1450
2018,6,16,12,45,06/16/2018,12:45:00,1392
2018,6,16,13,0,06/16/2018,13:00:00,1421
2018,6,16,13,15,06/16/2018,13:15:00,1395
2018,6,16,13,30,06/16/2018,13:30:00,1457
2018,6,16,13,45,06/16/2018,13:45:00,1425
2018,6,16,14,0,06/16/2018,14:00:00,1398
2018,6,16,14,15,06/16/2018,14:15:00,1407
2018,6,16,14,30,06/16/2018,14:30:00,1435
2018,6,16,14,45,06/16/2018,14:45:00,1472
2018,6,16,15,0,06/16/2018,15:00:00,1487
2018,6,16,15,15,06/16/2018,15:15:00,1423
2018,6,16,15,30,06/16/2018,15:30:00,1446
2018,6,16,15,45,06/16/2018,15:45:00,1404
2018,6,16,16,0,06/16/2018,16:00:00,1428
2018,6,16,16,15,06/16/2018,16:15:00,1418
2018,6,16,16,30,06/16/2018,16:30:00,1471
2018,6,16,16,45,06/16/2018,16:45:00,1366
2018,6,16,17,0,06/16/2018,17:00:00,1393
2018,6,16,17,15,06/16/2018,17:15:00,1346
2018,6,16,17,30,06/16/2018,17:30:00,1422
2018,6,16,17,45,06/16/2018,17:45:00,1400
2018,6,16,18,0,06/16/2018,18:00:00,1346
2018,6,16,18,15,06/16/2018,18:15:00,1395
2018,6,16,18,30,06/16/2018,18:30:00,1425
2018,6,16,18,45,06/16/2018,18:45:00,1397
2018,6,16,19,0,06/16/2018,19:00:00,1456
2018,6,16,19,15,06/16/2018,19:15:00,1395
2018,6,16,19,30,06/16/2018,19:30:00,1369
2018,6,16,19,45,06/16/2018,19:45:00,1341
2018,6,16,20,0,06/16/2018,20:00:00,1352
2018,6,16,20,15,06/16/2018,20:15:00,1418
2018,6,16,20,30,06/16/2018,20:30:00,1334
2018,6,16,20,45,06/16/2018,20:45:00,1410
2018,6,16,21,0,06/16/2018,21:00:00,1359
2018,6,16,21,15,06/16/2018,21:15:00,1351
2018,6,16,21,30,06/16/2018,21:30:00,1471
2018,6,16,21,45,06/16/2018,21:45:00,1470
2018,6,16,22,0,06/16/2018,22:00:00,1536
2018,6,16,22,15,06/16/2018,22:15:00,1600
2018,6,16,22,30,06/16/2018,22:30:00,1527
2018,6,16,22,45,06/16/2018,22:45:00,1525
2018,6,16,23,0,06/16/2018,23:00:00,1504
2018,6,16,23,15,06/16/2018,23:15:00,1485
2018,6,16,23,30,06/16/2018,23:30:00,1506
2018,6,16,23,45,06/16/2018,23:45:00,1527
