"","Date","T","s32","s35","s40","s8","s5","Year"
"1","10-07","21:00",57192.84291,66241.47049,60354.40759,72737.26643,74193.99339,"2017"
"2","10-07","21:10",58966.53602,60143.56305,61563.54235,65896.94821,61207.73272,"2017"
"3","10-07","21:20",74781.78179,70710.59263,59438.74436,66334.10528,71406.40574,"2017"
"4","10-07","21:30",60050.72726,69643.5792,76571.73398,63702.73371,63416.11091,"2017"
"5","10-07","21:40",61083.26369,70801.51805,60819.61997,73614.1993,65055.70896,"2017"
"6","10-07","21:50",62881.99997,60382.00216,59160.6829,66855.56277,58653.31052,"2017"
"7","10-07","22:00",57328.00968,60630.67967,60503.86292,68415.78,70552.97602,"2017"
"8","10-07","22:10",65583.31342,62026.65295,71892.0699,69666.4694,64575.92351,"2017"
"9","10-07","22:20",63751.39193,62389.20015,56329.8939,66365.75728,66877.04222,"2017"
"10","10-07","22:30",71220.46608,69865.32515,59198.20914,66351.75328,58425.19555,"2017"
"11","10-07","22:40",58909.36478,61308.52613,65088.34553,70628.9378,56911.60562,"2017"
"12","10-07","22:50",71577.54083,73760.11511,61057.42673,61322.87651,58583.36891,"2017"
"13","10-07","23:00",66032.25181,60722.1582,60893.56355,82338.88668,62115.97552,"2017"
"14","10-07","23:10",75845.49772,72195.37059,60866.12076,61024.91503,64263.28148,"2017"
"15","10-07","23:20",70590.76092,62076.77641,59374.35368,73766.14121,64802.11971,"2017"
"16","10-07","23:30",55161.47165,61507.58921,63063.7553,80319.893,63822.31993,"2017"
"17","10-07","23:40",57945.2356,64967.1732,57168.25167,62646.82682,64795.93734,"2017"
"18","10-07","23:50",63647.75668,82619.5601,60645.3057,74148.36406,63127.10638,"2017"
"19","11-07","00:00",57177.75254,67055.89886,66284.45439,69587.36461,61860.08936,"2017"
"20","11-07","00:10",58064.18306,81399.61799,64445.53977,82880.20752,72867.22559,"2017"
"21","11-07","00:20",64125.61462,72679.89966,58685.16901,78600.20605,62890.33023,"2017"
"22","11-07","00:30",57392.58692,67843.90977,63474.45197,70031.8647,61403.42037,"2017"
"23","11-07","00:40",57706.85791,71451.48577,54647.64278,59245.52848,62558.85553,"2017"
"24","11-07","00:50",71725.55618,75411.37565,56817.68172,68335.40832,63127.74738,"2017"
"25","11-07","01:00",61720.13222,71330.32798,58503.30274,66802.82182,63410.61501,"2017"
"26","11-07","01:10",55564.52966,68114.09208,59574.61305,69946.17858,67185.8227,"2017"
"27","11-07","01:20",70366.64894,75042.10315,67008.79906,77806.9902,65878.25934,"2017"
"28","11-07","01:30",65080.02099,72833.5237,69059.82378,60442.43844,61718.4159,"2017"
"29","11-07","01:40",61490.68856,75756.95017,56376.99685,63797.21769,63559.58696,"2017"
"30","11-07","01:50",58614.09376,67369.49779,60327.93468,65785.6344,64090.61162,"2017"
"31","11-07","02:00",60385.26028,65386.14479,58548.51995,70231.0482,68519.46886,"2017"
"32","11-07","02:10",71025.98084,69660.62367,60339.31328,78695.13958,61764.18189,"2017"
"33","11-07","02:20",63296.36215,72223.2648,58510.39499,73803.42489,77167.37157,"2017"
"34","11-07","02:30",76220.1986,78960.22988,57109.94617,66751.61785,57576.60445,"2017"
"35","11-07","02:40",58430.47507,66601.80874,56920.21363,62321.6692,56905.55901,"2017"
"36","11-07","02:50",60080.07881,69620.24538,60106.19773,63191.41219,57738.86163,"2017"
"37","11-07","03:00",61330.29923,69719.64068,58461.73694,66736.3553,63512.66874,"2017"
"38","11-07","03:10",63344.74745,69188.6163,61734.67096,81331.98751,63655.15936,"2017"
"39","11-07","03:20",56008.62037,72058.42913,66417.87826,67867.73161,65325.42955,"2017"
"40","11-07","03:30",59039.6459,65434.64289,63998.19759,80509.59631,67532.79928,"2017"
"41","11-07","03:40",60879.91813,73505.11339,57671.84173,69959.97891,68863.0395,"2017"
"42","11-07","03:50",56157.4691,64677.64229,60598.22298,70598.37679,62034.96093,"2017"
"43","11-07","04:00",61540.33772,63903.22886,59327.37953,81124.66774,61752.64436,"2017"
"44","11-07","04:10",59237.84417,68438.32752,59360.48828,66096.77827,65551.4857,"2017"
"45","11-07","04:20",55247.85265,65800.60645,65430.50269,64451.92699,63315.02614,"2017"
"46","11-07","04:30",67565.58558,66075.82295,71547.54284,66801.16456,60479.23857,"2017"
"47","11-07","04:40",56549.2014,68683.95526,58241.22115,65923.03327,57975.72396,"2017"
"48","11-07","04:50",62109.22864,66376.38917,57327.20705,66990.74578,56639.44881,"2017"
"49","11-07","05:00",55604.96935,73787.89131,57135.37676,69249.11794,63293.41813,"2017"
"50","11-07","05:10",60767.07432,62316.01019,59047.09349,69970.99746,58258.20771,"2017"
"51","11-07","05:20",58597.23339,71657.73076,60416.10909,71230.41222,63912.53723,"2017"
"52","11-07","05:30",63157.83699,69199.07697,63096.22681,64814.17411,67027.31332,"2017"
"53","11-07","05:40",60878.18739,72211.57764,64912.38277,68711.45398,57832.60295,"2017"
"54","11-07","05:50",58738.58854,71787.67752,63133.32066,59023.91214,63944.27569,"2017"
"55","11-07","06:00",62240.00519,69194.63478,57903.62225,59982.7363,60325.09422,"2017"
"56","11-07","06:10",69170.31525,69611.50222,59879.58135,68423.95349,66371.96063,"2017"
"57","11-07","06:20",60065.25461,69612.09569,55102.14634,80555.6916,69915.83882,"2017"
"58","11-07","06:30",58684.19955,66452.35798,73882.95055,64258.12011,68702.72067,"2017"
"59","11-07","06:40",67761.38389,65988.43454,62965.08367,68704.60655,57556.77741,"2017"
"60","11-07","06:50",67940.66062,71902.25029,55829.8662,73226.41499,63648.78117,"2017"
"61","11-07","07:00",60622.41501,67696.29132,57019.53793,67183.02383,59135.23836,"2017"
"62","11-07","07:10",61724.38808,64345.70806,58715.26193,63336.07952,61525.88164,"2017"
"63","11-07","07:20",58767.99812,61668.32061,58336.55707,62635.44306,59477.61805,"2017"
"64","11-07","07:30",61538.09706,64134.10195,57693.07098,63935.49018,61449.83256,"2017"
"65","11-07","07:40",60646.44253,69769.50945,68313.32205,66910.54086,66100.13812,"2017"
"66","11-07","07:50",60174.99395,68324.6247,64277.23846,75648.912,62427.84824,"2017"
"67","11-07","08:00",69530.13543,62347.87443,56901.63879,68839.55615,56970.18919,"2017"
"68","11-07","08:10",57333.91483,67502.09312,67699.59653,62951.75062,64576.7468,"2017"
"69","11-07","08:20",60322.34722,79689.2453,60677.07707,63789.82416,67742.10087,"2017"
"70","11-07","08:30",68798.93744,66008.50848,67002.30374,69458.62066,60267.15874,"2017"
"71","11-07","08:40",61901.43949,70993.6347,62473.01643,67772.14402,60029.8644,"2017"
"72","11-07","08:50",58391.15929,66423.00515,59343.89928,67172.6149,71776.77953,"2017"
"73","11-07","09:00",58299.36675,66163.73823,58541.1972,66132.59378,59997.57805,"2017"
"74","11-07","09:10",60636.2609,68067.21912,65099.81046,81844.76304,60567.62,"2017"
"75","11-07","09:20",56129.21597,66060.02493,59469.73312,66759.96619,65523.94934,"2017"
"76","11-07","09:30",65467.85332,62395.31434,62925.82154,68859.64931,68104.08732,"2017"
"77","11-07","09:40",65301.30652,66152.38156,58334.64618,65192.45657,62530.99579,"2017"
"78","11-07","09:50",54595.89572,67014.28304,55437.98312,77249.84117,62461.02977,"2017"
"79","11-07","10:00",59752.61976,71048.37742,58023.74699,67303.7471,61961.66523,"2017"
"80","11-07","10:10",55061.02063,70358.59201,56985.08971,61892.31144,61609.47654,"2017"
"81","11-07","10:20",55874.11178,67923.52327,59562.95432,79984.679,63996.86971,"2017"
"82","11-07","10:30",57257.92245,78319.1173,55070.43098,69640.01073,62742.51958,"2017"
"83","11-07","10:40",71791.03319,67628.76579,62558.106,71127.1311,78488.58422,"2017"
"84","11-07","10:50",71065.48966,62251.12101,59825.46345,78344.51906,64296.74101,"2017"
"85","11-07","11:00",63903.61687,72434.59087,62770.81736,79766.49148,61430.07184,"2017"
"86","11-07","11:10",64571.70796,68164.39425,61256.00092,69896.40244,65072.98582,"2017"
"87","11-07","11:20",57432.57347,60991.06733,56204.27089,63174.44756,61501.38012,"2017"
"88","11-07","11:30",57120.32466,69782.35941,58733.33116,76222.0028,65264.18261,"2017"
"89","11-07","11:40",56629.30885,62726.27254,58053.27032,67209.57782,66047.45623,"2017"
"90","11-07","11:50",67393.3438,72302.15252,59927.00415,70822.24576,60991.17651,"2017"
"91","11-07","12:00",54351.12358,63679.02564,63971.5682,65091.81532,77947.54059,"2017"
"92","11-07","12:10",64681.18053,68181.55312,56245.39614,62749.16263,60028.5051,"2017"
"93","11-07","12:20",60964.70965,64645.00908,60088.89641,63634.31991,64638.90814,"2017"
"94","11-07","12:30",63818.66262,62534.5339,60794.64488,74262.64786,63905.42141,"2017"
"95","11-07","12:40",61766.99451,61421.59925,56697.94176,65051.89267,59973.06347,"2017"
"96","11-07","12:50",54315.29854,67915.68529,58739.62165,67349.99588,59182.16758,"2017"
"97","11-07","13:00",57246.86675,67459.53023,55744.37107,67312.95036,65785.74572,"2017"
"98","11-07","13:10",61930.51862,66658.38078,54752.58443,76304.78263,59504.43525,"2017"
"99","11-07","13:20",65650.78438,63401.26575,56086.84659,73179.83381,64880.42206,"2017"
"100","11-07","13:30",64308.19096,64829.31362,57265.76207,68147.7862,64780.99581,"2017"
"101","11-07","13:40",55105.76455,63854.31911,69585.25198,68589.19183,66949.3483,"2017"
"102","11-07","13:50",72863.61671,69037.72497,54873.18752,79529.67491,63285.28776,"2017"
"103","11-07","14:00",56159.79405,61078.62878,59333.56586,71213.66451,62882.25045,"2017"
"104","11-07","14:10",57491.11623,74453.53395,59632.46923,63287.35762,60629.1266,"2017"
"105","11-07","14:20",60797.96491,67582.97519,74458.21289,67745.96417,61329.34893,"2017"
"106","11-07","14:30",58933.45056,67420.05361,60699.50251,64863.19883,61882.62856,"2017"
"107","11-07","14:40",60022.75659,61480.20629,56441.70081,69497.13078,60411.46402,"2017"
"108","11-07","14:50",64450.00812,65281.15613,62198.83855,66568.53984,69071.81741,"2017"
"109","11-07","15:00",63125.30897,63143.49665,58801.06043,66234.92334,57897.83013,"2017"
"110","11-07","15:10",53198.90968,74717.79246,59203.87692,64767.94665,57472.22378,"2017"
"111","11-07","15:20",63260.209,67047.66724,58085.35978,70109.03744,63590.78101,"2017"
"112","11-07","15:30",60320.00854,69919.07846,67602.85373,66203.17066,64243.95694,"2017"
"113","11-07","15:40",60133.30923,65294.74849,63713.35708,72021.22666,63417.26486,"2017"
"114","11-07","15:50",57333.89383,69148.18822,61759.9137,76514.02172,62338.92604,"2017"
"115","11-07","16:00",59675.63093,71953.12162,61157.48502,80627.28326,60143.86716,"2017"
"116","11-07","16:10",63630.6885,64068.70162,76376.264,75171.27901,75757.79587,"2017"
"117","11-07","16:20",61476.07872,67038.8227,55677.78623,71467.05107,67641.55804,"2017"
"118","11-07","16:30",57934.99821,63711.3403,64199.07938,71757.78232,66072.84734,"2017"
"119","11-07","16:40",68099.85243,81383.13365,55248.16784,84476.23246,61721.66496,"2017"
"120","11-07","16:50",61928.3583,66598.29979,62768.35681,65941.48804,70219.44928,"2017"
"121","11-07","17:00",57297.7379,69267.43987,58506.87895,68534.17367,60699.77055,"2017"
"122","11-07","17:10",66921.54051,72516.38128,60808.24282,72126.00093,59462.45085,"2017"
"123","11-07","17:20",54694.76365,62220.14935,62069.32799,68881.25464,60604.81301,"2017"
"124","11-07","17:30",64493.84035,63778.70889,57874.64541,71415.21739,60489.92102,"2017"
"125","11-07","17:40",58580.27215,62388.39657,54968.98076,80680.52695,61224.70361,"2017"
"126","11-07","17:50",61116.46218,67595.0366,56116.57701,60201.07609,60356.07666,"2017"
"127","11-07","18:00",59526.82581,60766.23583,57616.04781,70969.68983,59564.46507,"2017"
"128","11-07","18:10",59972.01589,68940.54089,60759.71644,68452.7468,62483.25566,"2017"
"129","11-07","18:20",56985.16589,66720.88001,67846.54556,70442.34647,62592.7843,"2017"
"130","11-07","18:30",59778.21583,61456.357,57402.90987,60715.87549,70683.1098,"2017"
"131","11-07","18:40",64779.38321,73994.29516,61110.15392,68694.33738,64510.91062,"2017"
"132","11-07","18:50",61704.56521,82163.462,60947.74603,70187.91355,65781.40349,"2017"
"133","11-07","19:00",59218.0344,70880.66195,58100.08858,63068.25419,63768.27647,"2017"
"134","11-07","19:10",62695.11632,70407.03849,65439.22842,66347.45397,62804.33728,"2017"
"135","11-07","19:20",55403.62224,63539.79297,59867.97447,69773.11382,78324.16587,"2017"
"136","11-07","19:30",55101.80312,74434.89262,64419.28803,64705.58014,60331.44831,"2017"
"137","11-07","19:40",67759.05909,59032.33656,68889.40986,60240.38785,61723.46508,"2017"
"138","11-07","19:50",56782.95223,60270.94324,72279.77757,76689.49861,62481.43972,"2017"
"139","11-07","20:00",61142.80505,65000.2127,58454.13741,77708.73026,59140.25923,"2017"
"140","11-07","20:10",57473.10398,67473.40364,59494.79636,72645.71619,59314.35475,"2017"
"141","11-07","20:20",59548.01391,65725.42708,59178.14848,60717.99464,64964.24358,"2017"
"142","11-07","20:30",64420.96385,65404.07893,59169.8506,64935.29149,64672.63801,"2017"
"143","11-07","20:40",66522.62336,60526.21996,58522.34198,69671.92751,60949.47887,"2017"
"144","11-07","20:50",56996.17143,65695.37571,63814.82338,70549.31793,72657.87598,"2017"
"145","11-07","21:00",63205.903,70139.91984,60450.7116,74611.66355,60500.39633,"2017"
"146","11-07","21:10",62722.32337,67701.22891,67101.72617,71807.58959,65049.64433,"2017"
"147","11-07","21:20",56898.22096,62785.72372,65711.5137,65661.04311,58987.46955,"2017"
"148","11-07","21:30",70443.50751,60392.70169,61906.31397,64290.81647,61422.9437,"2017"
"149","11-07","21:40",55660.81408,71270.2359,65404.24653,74447.44302,64354.42275,"2017"
"150","11-07","21:50",68987.29412,67243.88721,61867.80407,69435.06852,77714.22617,"2017"
"151","11-07","22:00",77265.95038,63621.41499,57052.07132,70235.38313,60842.14337,"2017"
"152","11-07","22:10",62619.20206,68907.83151,60654.68875,63751.10386,68160.79082,"2017"
"153","11-07","22:20",59565.4062,64868.55537,60834.19234,64851.14456,61520.07175,"2017"
"154","11-07","22:30",61356.81654,68319.17964,75403.29895,63421.91359,60009.73844,"2017"
"155","11-07","22:40",60598.51595,62020.29065,56520.66382,65672.84233,65343.48473,"2017"
"156","11-07","22:50",62778.97915,63466.55969,59480.26274,60006.74178,67340.20239,"2017"
"157","11-07","23:00",60099.07003,66850.34943,61177.90583,80918.29141,67300.48914,"2017"
"158","11-07","23:10",57323.96695,68850.5667,55737.099,73744.50807,60807.15445,"2017"
"159","11-07","23:20",61529.51401,72153.21875,67637.74004,64935.27993,66219.52392,"2017"
"160","11-07","23:30",61424.859,67456.64752,61944.18042,65141.46032,62386.35441,"2017"
"161","11-07","23:40",62524.26816,68018.61828,58459.24331,63919.81166,59310.9168,"2017"
"162","11-07","23:50",57380.26226,67390.04581,60240.40311,70017.72203,59172.33999,"2017"
"163","12-07","00:00",56066.22507,69320.99957,60371.51509,67369.67341,60155.46449,"2017"
"164","12-07","00:10",64070.1744,64574.29904,61867.75734,62389.31256,59285.57825,"2017"
"165","12-07","00:20",58654.78149,77065.99549,56900.21921,76516.81381,57623.88325,"2017"
"166","12-07","00:30",64432.46449,66853.69281,63937.77108,66888.46071,57784.41809,"2017"
"167","12-07","00:40",59188.39091,66348.76057,57523.5054,72978.4322,61248.81966,"2017"
"168","12-07","00:50",62811.44615,74222.42293,59265.3055,62342.65892,58300.56272,"2017"
"169","12-07","01:00",59129.32664,67893.31871,57174.16531,68442.1355,65109.90683,"2017"
"170","12-07","01:10",76715.86988,61736.71167,57349.97391,78410.70617,58442.51218,"2017"
"171","12-07","01:20",57904.17518,60594.42543,64523.94715,71034.45637,62947.75017,"2017"
"172","12-07","01:30",58035.56716,66612.50635,54956.86191,74538.60748,64970.45732,"2017"
"173","12-07","01:40",63519.56039,69811.92109,56494.13932,67862.13378,59925.83653,"2017"
"174","12-07","01:50",62133.38705,67814.79924,61044.41103,64734.59713,59309.42323,"2017"
"175","12-07","02:00",60604.93883,70640.49086,60424.4058,63852.37271,69874.31392,"2017"
"176","12-07","02:10",60748.45227,72837.49855,59804.95548,66181.40463,59364.67518,"2017"
"177","12-07","02:20",57702.25131,68853.55188,58329.98915,67630.70977,64349.31062,"2017"
"178","12-07","02:30",55202.54606,65437.66752,56180.7166,60841.46753,60529.16139,"2017"
"179","12-07","02:40",57966.14049,62850.12068,58748.86546,71735.6959,62478.45878,"2017"
"180","12-07","02:50",78794.24652,73416.59225,58893.12348,63549.47187,58827.61013,"2017"
"181","12-07","03:00",65180.29309,63398.64343,59271.78161,70179.02073,58043.27068,"2017"
"182","12-07","03:10",60346.72971,63640.59045,60839.8029,64359.08702,63356.35644,"2017"
"183","12-07","03:20",66459.92023,80766.07807,65021.0242,68321.91257,64635.85062,"2017"
"184","12-07","03:30",57301.46886,61333.10919,60254.199,68754.48274,61736.07071,"2017"
"185","12-07","03:40",63558.56523,64057.89652,64775.37338,71172.37928,54698.13947,"2017"
"186","12-07","03:50",56569.43779,66787.40855,58405.81619,69128.563,57829.40745,"2017"
"187","12-07","04:00",59987.98791,67411.28287,74264.51045,72650.99668,58904.49145,"2017"
"188","12-07","04:10",62617.44292,63113.13686,63970.0607,64125.56409,59515.58237,"2017"
"189","12-07","04:20",61764.67561,66787.72881,62059.60406,69101.16288,73713.19844,"2017"
"190","12-07","04:30",59835.85211,62993.90071,55814.05558,71997.21528,55821.67715,"2017"
"191","12-07","04:40",64264.21998,63985.78047,65662.94264,64699.02584,54676.7391,"2017"
"192","12-07","04:50",59374.09513,69020.48587,59963.43368,62481.59757,73754.41975,"2017"
"193","12-07","05:00",62635.05573,66163.57374,64867.03754,69859.82479,62270.72354,"2017"
"194","12-07","05:10",63943.29199,60003.93115,58804.80639,65840.47934,67459.51124,"2017"
"195","12-07","05:20",55595.57049,65641.65599,60403.6406,72420.86645,68860.12946,"2017"
"196","12-07","05:30",57919.59993,65189.42471,60028.26326,68822.6478,67588.78107,"2017"
"197","12-07","05:40",68619.52012,76580.00162,64454.13211,78708.4015,55479.11001,"2017"
"198","12-07","05:50",66841.71845,68980.26041,66329.06795,67981.97897,63873.54139,"2017"
"199","12-07","06:00",60489.29411,63466.34146,57121.89504,65135.64439,60234.60564,"2017"
"200","12-07","06:10",62299.58408,73649.46654,60447.71074,66201.1862,61647.41702,"2017"
"201","12-07","06:20",61118.10984,63639.74627,56314.52198,70634.87124,56305.26645,"2017"
"202","12-07","06:30",70764.63091,62264.99478,57890.20091,63484.777,63302.39481,"2017"
"203","12-07","06:40",62075.2165,62227.80673,58025.08955,66779.39386,69142.29577,"2017"
"204","12-07","06:50",56779.19158,67401.32323,57428.08858,78582.29497,63210.48251,"2017"
"205","12-07","07:00",56632.0134,81334.92055,61961.44746,65732.43637,64822.38571,"2017"
"206","12-07","07:10",64852.64114,62351.65051,56987.96363,68283.61925,60006.35352,"2017"
"207","12-07","07:20",56142.76421,66322.15767,61461.81944,79630.93922,58589.51809,"2017"
"208","12-07","07:30",65824.30325,70597.84941,60953.13172,64554.286,55902.60943,"2017"
"209","12-07","07:40",54938.40324,68156.87921,69681.99083,63586.95779,59033.78483,"2017"
