Field.Season,Site,coralnet.tag,MeanPercentCover,SE.Percent.Cover
KI2017,site32,AVRA,0,0
KI2017,site32,Caul,0,0
KI2017,site32,CCA,0.335739195,0.205568967
KI2017,site32,Dict,0,0
KI2017,site32,DICTY,0,0
KI2017,site32,Hali,0.133333333,0.133333333
KI2017,site32,Lobph,0,0
KI2017,site32,Macro,0,0
KI2017,site32,Mdict,0,0
KI2017,site32,Pad,1.136054422,0.696139827
KI2017,site32,Peysson,6.381592283,2.10149583
KI2017,site32,Turf,0.234006734,0.124283887
KI2017,site32,TURFH,21.16992997,2.442131214
KI2017,site35,AVRA,0,0
KI2017,site35,Caul,22.65213477,4.510798392
KI2017,site35,CCA,6.846133909,1.627409864
KI2017,site35,Dict,0,0
KI2017,site35,DICTY,0,0
KI2017,site35,Hali,22.424417,3.943500888
KI2017,site35,Lobph,0,0
KI2017,site35,Macro,0.144134998,0.068119809
KI2017,site35,Mdict,0,0
KI2017,site35,Pad,0,0
KI2017,site35,Peysson,1.106693228,0.438600686
KI2017,site35,Turf,0.245964656,0.130185502
KI2017,site35,TURFH,20.87508034,2.741212334
KI2017,site40,AVRA,0,0
KI2017,site40,Caul,2.696727805,0.908346449
KI2017,site40,CCA,13.93557532,1.520464237
KI2017,site40,Dict,0,0
KI2017,site40,DICTY,0,0
KI2017,site40,Hali,1.409228875,0.574859704
KI2017,site40,Lobph,0,0
KI2017,site40,Macro,0,0
KI2017,site40,Mdict,0,0
KI2017,site40,Pad,0,0
KI2017,site40,Peysson,16.84400283,1.539093485
KI2017,site40,Turf,0.066518543,0.046247767
KI2017,site40,TURFH,21.61352873,2.253696916
KI2017,site5,AVRA,0,0
KI2017,site5,Caul,4.63464145,1.348975818
KI2017,site5,CCA,6.242373255,1.208691558
KI2017,site5,Dict,0,0
KI2017,site5,DICTY,0,0
KI2017,site5,Hali,8.258635248,2.269448142
KI2017,site5,Lobph,0,0
KI2017,site5,Macro,0,0
KI2017,site5,Mdict,0,0
KI2017,site5,Pad,0,0
KI2017,site5,Peysson,0.796603538,0.256936291
KI2017,site5,Turf,0,0
KI2017,site5,TURFH,26.73671017,2.081445171
KI2017,site8,AVRA,0,0
KI2017,site8,Caul,45.72516689,4.400263386
KI2017,site8,CCA,3.463640004,0.869149976
KI2017,site8,Dict,0,0
KI2017,site8,DICTY,0,0
KI2017,site8,Hali,14.24523536,3.488414108
KI2017,site8,Lobph,0,0
KI2017,site8,Macro,1.353569613,0.460024818
KI2017,site8,Mdict,0,0
KI2017,site8,Pad,0,0
KI2017,site8,Peysson,1.071705102,0.62752846
KI2017,site8,Turf,0,0
KI2017,site8,TURFH,13.02513179,2.424613575
KI2018,site32,AVRA,0,0
KI2018,site32,Caul,0,0
KI2018,site32,CCA,1.170777955,0.288339622
KI2018,site32,Dict,0,0
KI2018,site32,DICTY,0,0
KI2018,site32,Hali,0.166666667,0.136317187
KI2018,site32,Lobph,0,0
KI2018,site32,Macro,0,0
KI2018,site32,Mdict,0,0
KI2018,site32,Pad,0,0
KI2018,site32,Peysson,3.817738791,0.980744248
KI2018,site32,Turf,0,0
KI2018,site32,TURFH,18.82990342,3.918894948
KI2018,site35,AVRA,0,0
KI2018,site35,Caul,0,0
KI2018,site35,CCA,4.67360556,0.957629089
KI2018,site35,Dict,0,0
KI2018,site35,DICTY,0,0
KI2018,site35,Hali,23.79788361,3.196743405
KI2018,site35,Lobph,0,0
KI2018,site35,Macro,0,0
KI2018,site35,Mdict,0,0
KI2018,site35,Pad,0,0
KI2018,site35,Peysson,1.273441902,0.333255825
KI2018,site35,Turf,0.034013605,0.034013605
KI2018,site35,TURFH,19.98636142,2.045000649
KI2018,site5,AVRA,0,0
KI2018,site5,Caul,0,0
KI2018,site5,CCA,5.992219073,1.437473
KI2018,site5,Dict,0,0
KI2018,site5,DICTY,0,0
KI2018,site5,Hali,6.002818859,1.48189057
KI2018,site5,Lobph,0,0
KI2018,site5,Macro,0,0
KI2018,site5,Mdict,0,0
KI2018,site5,Pad,0,0
KI2018,site5,Peysson,0.491255381,0.251185827
KI2018,site5,Turf,0,0
KI2018,site5,TURFH,34.52172136,2.349852546
KI2018,site8,AVRA,0,0
KI2018,site8,Caul,0,0
KI2018,site8,CCA,3.053019722,0.865082606
KI2018,site8,Dict,0,0
KI2018,site8,DICTY,0,0
KI2018,site8,Hali,21.53700766,3.018803386
KI2018,site8,Lobph,0,0
KI2018,site8,Macro,0,0
KI2018,site8,Mdict,0,0
KI2018,site8,Pad,0,0
KI2018,site8,Peysson,2.457231674,1.010278729
KI2018,site8,Turf,0,0
KI2018,site8,TURFH,12.52784797,2.250334081
