KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth (m),Slope,Note
06_07_2017,35,SD,1,,Cephalopholis urodeta,18,2,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Cephalopholis urodeta,16,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Pseudanthias bartlettorum,6,49,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Pseudanthias olivaceus,5,4,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Centropyge loricula,7,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Centropyge flavissima,10,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Chromis margaritifer,2,12,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Chromis margaritifer,4,11,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Chromis vanderbilti,4,38,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Chromis vanderbilti,3,10,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Lepidozygus tapeinosoma,7,19,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Plectroglyphidodon dickii,4,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Plectroglyphidodon dickii,5,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Stegastes aureus,9,2,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Stegastes aureus,7,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Oxycheilinus diagrammus,26,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Halichoeres hortulanus,6,1,,1358,9.1,2,TRAINING NOT FOR USE
06_07_2017,35,SD,1,,Halichoeres margaritaceus,7,1,,1358,9.1,2,TRAINING NOT FOR USE
