KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
06_07_2017,35,TAP,1,,Cephalopholis urodeta,16,2,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Cephalopholis urodeta,14,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Cephalopholis urodeta,19,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Pseudanthias bartlettorum,7,850,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Pseudanthias olivaceus,7,231,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Cirrhitichthys oxycephalus,6,3,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Cirrhitichthys oxycephalus,7,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Centropyge flavissima,7,9,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Chromis margaritifer,4,190,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Chromis vanderbilti,7,85,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Plectroglyphidodon dickii,7,5,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Stegastes aureus,11,3,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Stegastes aureus,14,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Stegastes aureus,10,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Halichoeres ornatissimus,14,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Halichoeres ornatissimus,7,3,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Halichoeres ornatissimus,10,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Labroides bicolor,7,1,,13:57,9.8,2,Training Dive
06_07_2017,35,TAP,1,,Labroides dimidiatus,7,1,,13:57,9.8,2,Training Dive
