KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
14_06_2018,32,SD,1,,Gymnothorax meleagris,100,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Cephalopholis urodeta,16,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Cephalopholis urodeta,14,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Pseudanthias bartlettorum,5,60,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Pseudanthias dispar,6,2,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Cirrhitichthys oxycephalus,4,4,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Cirrhitichthys oxycephalus,6,4,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Ostorhinchus apogonides,7,345,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Ostorhinchus apogonides,9,188,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Ostorhinchus apogonides,11,50,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Lutjanus kasmira,6,27,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Lutjanus kasmira,12,4,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Luzonichthys whitleyi,8,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Gnathodentex aureolineatus,10,11,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Gnathodentex aureolineatus,6,5,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Ptereleotris zebra,7,3,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Ptereleotris zebra,9,2,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Valenciennea strigata,6,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Centropyge flavissima,5,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Centropyge flavissima,6,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Chromis margaritifer,3,4,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Pomacentrus coelestis,3,10,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Pomacentrus coelestis,5,20,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Cirrhitichthys oxycephalus,4,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Halichoeres margaritaceus,4,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Labroides dimidiatus,6,2,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Macropharyngodon meleagris,6,1,,1752,10.5,1,TRAINING
14_06_2018,32,SD,1,,Stethojulis bandanensis,6,1,,1752,10.5,1,TRAINING
