Model Number,Model ,,,K,AICc,deltaAIC,R2m,R2c
1,LF SPL ~ Knocks + Hour + Knocks:Hour + (1|site_year),,,10,855.2410298,2.98E-05,0.137135359,0.70658719
2,LF SPL ~ Knocks + Hour + Knocks:Hour + Herbivory + (1|site_year),,,11,855.4099004,0.168900419,0.156618455,0.714542546
3,LF SPL ~ Knocks + Hour + (1|site_year),,,7,858.9739505,3.732950538,0.07111687,0.668409009
4,LF SPL ~ Knocks + Herbivory + Long Calls + Hour + Knocks:Hour + (1|site_year),,,12,860.20404,4.963040026,0.156277602,0.721730095
Parameter,Estimate,Std. Error,,df,t value,,P value,
(Intercept),104.909,0.866,,11.45,121.123,,< 0.0001,
Knocks,-0.018,0.007661,,176.08,-2.313,,0.0219,
3:00,1.038,0.416109,,174.48,-0.438,,0.0153,
9:00,-0.182,0.419124,,174.45,4.117,,0.6619,
21:00,1.726,0.423681,,174.53,2.45,,< 0.0001,
Knocks: 3:00,0.018,0.00849,,174.79,2.361,,0.0351,
Knocks: 9:00,0.020,0.008709,,175.01,5.51,,0.0193,
Knocks: 21:00,0.048,0.008564,,174.28,2.124,,< 0.0001,
