Time Stamp,ACI_BB,ACI_HF,ACI_Midrange,SPL_BB,SPL_HF,SPL_Midrange
170706210002,65913.7789,65200.82685,60783.64325,113.4923497,111.9912347,106.3842117
170706211002,65106.31715,65517.97272,57216.58476,111.6601052,109.6147532,105.3099184
170706212002,67516.2916,67434.05349,53054.51286,111.6586904,110.0107962,104.0151417
170706213002,67669.25266,67544.18173,52134.28624,112.1888687,110.6027075,104.4623107
170706214002,65339.65372,65299.48048,54660.06267,113.2588007,111.0713419,107.0959416
170706215002,66581.82542,66833.30588,57370.64831,115.0358804,113.6099754,108.3422699
170706220002,80106.986,80230.39564,53684.19568,116.6437338,115.6678888,108.5447361
170706221002,59293.34976,59292.55631,59959.22538,115.9354029,114.858262,108.117625
170706222002,73022.44359,73094.7121,51845.18298,116.1203751,115.4469049,105.896265
170706223002,60903.10374,60841.04216,54455.72215,115.1139148,114.1665975,106.3720351
170706224002,65577.50782,65551.73436,53516.89635,115.7419254,114.894964,106.0934043
170706225002,60088.84759,60308.85478,54783.28638,114.7603819,114.024021,104.2032085
170706230002,68387.86649,68537.28775,51389.75979,115.7342199,115.1072719,104.7641108
170706231002,68417.99979,68389.90887,52863.35353,116.0750234,115.5025278,104.2557044
170706232002,69501.24001,69250.8291,52244.67615,115.7415946,115.0637366,105.3552479
170706233002,64633.14083,64585.29645,50911.5328,115.0382572,114.376877,103.0433535
170706234002,60678.38602,60873.11577,54833.97528,115.3838562,114.5809613,104.5126317
170706235002,65071.42741,65093.31783,52154.76154,115.5577514,115.0050329,103.4307584
170707000002,67748.69627,67606.99751,53442.2959,115.0617168,114.4701666,103.2952734
170707001002,71104.8722,70919.44647,53155.12965,114.1360155,113.3309924,103.8610236
170707002002,60896.26975,60741.89545,51943.77735,114.9738916,114.2215851,104.1122099
170707003002,59803.75594,59623.33025,50742.13695,115.4985744,114.853932,104.47836
170707004002,66629.89283,66591.57808,54454.37277,115.7914908,115.2519451,103.8126848
170707005002,72383.94796,72034.71168,51161.65336,113.6937023,112.8956981,102.874415
170707010002,71772.82266,71545.01516,51261.09053,114.4289176,113.7397142,103.1109554
170707011002,61220.51587,61140.14463,50187.30321,115.298304,114.7409197,102.4843045
170707012002,60981.69132,61039.50599,52339.32615,115.0089785,114.2957438,103.2061865
170707013002,62498.58199,62336.28822,50807.30456,115.6271298,115.1620957,102.3703041
170707014002,64080.54498,64107.46933,50551.05042,115.0987885,114.5208572,102.910034
170707015002,64521.15682,64657.63305,57247.47996,113.867188,113.0970051,102.9740904
170707020002,63798.53241,63760.07683,53131.93387,115.3890713,114.6304655,104.8105196
170707021002,68335.98735,68355.40278,51966.23408,115.2077906,114.7026164,102.1944263
170707022002,62860.03512,63209.63331,51357.40661,114.0729386,113.3145649,103.2469787
170707023002,68589.48587,68621.49841,51388.5977,115.3394399,114.8164356,102.4438557
170707024002,65783.49678,65749.06966,52795.88407,115.3066167,114.754233,103.0970018
170707025002,71175.30428,71098.78324,51690.55608,114.9666354,114.3669281,102.5480759
170707030002,66969.12326,66947.91882,51751.25137,114.7495609,114.1050598,103.3620701
170707031002,76060.52579,76197.31648,51548.69345,116.0058279,115.5717404,102.3418937
170707032002,61587.58594,61536.10438,56192.5681,114.6921205,114.0161339,102.7534352
170707033002,64028.50966,64170.479,50085.03094,116.317055,115.7519247,102.8476067
170707034002,62016.27518,61938.42329,54199.58451,114.8413319,113.5714228,105.5134638
170707035002,60913.28684,60832.88768,51551.11119,113.9291273,113.0537476,103.3115709
170707040002,71717.24558,71568.61367,54872.20233,114.4235865,113.575459,104.6861088
170707041002,64681.78887,64679.68477,49908.56753,114.4684259,113.628978,104.6678566
170707042002,62953.0427,62911.7135,57383.00178,114.2702664,113.5129722,103.5294719
170707043002,60751.18821,60831.43692,60185.66429,115.286544,114.7001561,103.310074
170707044002,58329.89781,58450.20555,51116.23673,114.802159,114.0426068,102.8476852
170707045002,59733.35,59771.67786,53026.76209,115.5881478,115.0346099,102.632627
