Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	7.542372881	7.608286252	354.610	1411.348	609.375	1056.738		0.0659	-63.23	2	562.500	-74.77	7.5833	-24.776		
2	Spectrogram 1	1	10.127915010	15.184412185	56.738	1056.738	246.094	1000.000		5.0565	-69.59	139	152.344	-71.37	14.7656	-12.720		Mid_Selection
3	Spectrogram 1	1	12.227726686	12.274807666	248.227	1340.426	597.656	1092.199		0.0471	-60.19	1	574.219	-74.28	12.2500	-24.747		
4	Spectrogram 1	1	16.116615575	16.173112750	276.596	1297.872	597.656	1021.277		0.0565	-60.43	1	550.781	-74.61	16.1510	-24.992		
5	Spectrogram 1	1	24.785829220	24.851742591	390.071	1304.965	609.375	914.894		0.0659	-63.91	2	550.781	-74.68	24.8281	-25.457		
6	Spectrogram 1	1	28.665301913	28.712382893	326.241	1326.241	609.375	1000.000		0.0471	-60.41	1	574.219	-74.06	28.6927	-24.967		
7	Spectrogram 1	1	50.029774649	50.086271825	56.738	829.787	210.938	773.050		0.0565	-54.59	1	210.938	-64.05	50.0573	-19.149		
8	Spectrogram 1	1	54.144652239	55.161601391	35.461	851.064	187.500	815.603		1.0169	-58.44	28	152.344	-65.22	54.6510	-8.528		Buzz
9	Spectrogram 1	1	55.444087267	55.510000638	326.241	1418.440	597.656	1092.199		0.0659	-64.25	2	539.062	-75.97	55.4896	-25.801		
10	Spectrogram 1	1	69.915301318	75.009463277	42.553	1042.553	199.219	1000.000		5.0942	-70.18	140	175.781	-74.17	74.5937	-13.279		Mid_Selection
11	Spectrogram 1	1	75.536770245	75.602683616	35.461	936.170	199.219	900.709		0.0659	-56.95	2	199.219	-64.45	75.5781	-18.498		
12	Spectrogram 1	1	83.919204804	84.003950566	56.738	858.156	199.219	801.418		0.0847	-60.03	3	210.938	-66.66	83.9635	-19.818		
13	Spectrogram 1	1	129.945048405	135.029794168	70.922	1070.922	199.219	1000.000		5.0847	-71.32	139	199.219	-70.64	132.8906	-14.452		Mid_Selection
14	Spectrogram 1	1	156.750032229	156.853610383	28.369	510.638	187.500	482.270		0.1036	-59.21	3	210.938	-65.77	156.8073	-18.996		
15	Spectrogram 1	1	189.930164436	194.967829219	78.014	1078.014	210.938	1000.000		5.0377	-70.30	138	175.781	-69.81	192.7187	-13.461		Mid_Sequence
16	Spectrogram 1	1	136.186742824	136.845876534	560.284	1163.121	890.625	602.837		0.6591	-84.09	18	667.969	-90.33	136.5365	-36.094		Reference
