Selection	View	Channel	Begin Time (s)	End Time (s)	Low Freq (Hz)	High Freq (Hz)	Center Freq (Hz)	Delta Freq (Hz)	Delta Power (dB FS)	Delta Time (s)	Inband Power (dB FS)	Length (frames)	Peak Freq (Hz)	Peak Power Density (dB FS)	Max Time (s)	Energy	Peak Amp (U)	Comments
1	Spectrogram 1	1	33.323916987	33.389830358	368.794	964.539	644.531	595.745		0.0659	-56.43	1	656.250	-69.88	33.3594	-20.991		
2	Spectrogram 1	1	34.877589303	34.924670282	219.858	1000.000	550.781	780.142		0.0471	-53.23	1	375.000	-67.47	34.8906	-17.793		
3	Spectrogram 1	1	49.020715405	49.058380188	85.106	1418.440	187.500	1333.333		0.0377	-45.74	1	175.781	-54.52	49.0365	-10.300		
4	Spectrogram 1	1	64.328059145	64.375140124	439.716	1191.489	726.562	751.773		0.0471	-59.39	1	726.562	-72.67	64.3490	-23.944		
5	Spectrogram 1	1	68.442936734	68.499433909	432.624	1042.553	667.969	609.929		0.0565	-48.79	1	656.250	-61.22	68.4687	-13.346		
6	Spectrogram 1	1	99.662877056	99.700541839	273.050	960.993	539.062	687.943		0.0377	-60.10	1	316.406	-72.15	99.6771	-24.658		
7	Spectrogram 1	1	117.396000972	117.452498147	269.504	978.723	574.219	709.220		0.0565	-52.76	1	621.094	-67.26	117.4323	-17.318		
8	Spectrogram 1	1	209.859205917	209.915703093	70.922	1659.574	175.781	1588.652		0.0565	-47.13	1	128.906	-56.61	209.8906	-11.686		
9	Spectrogram 1	1	288.148694468	288.195775447	85.106	1624.113	222.656	1539.007		0.0471	-45.43	1	164.062	-56.61	288.1667	-9.985		
10	Spectrogram 1	1	273.705786400	273.752867379	326.241	921.986	585.938	595.745		0.0471	-54.86	1	386.719	-69.12	273.7292	-19.416		
11	Spectrogram 1	1	264.859907684	265.528457589	851.064	1439.716	1078.125	588.652		0.6685	-75.44	19	996.094	-82.14	264.8698	-27.207		Reference
