"","st.id","Year","ACI_BB","ACI_HF","ACI_Midrange","SPL_BB","SPL_HF","SPL_Midrange","Hour","Site","Tot_Knocks","Num_L_calls","Num_Herbivory","Date","Snaps"
"89","20_06_18-21_5","18",65764.70117,65997.996,62633.36709,115.0372608,113.1043869,108.6187542,"21","5",166,11,1,"20_06_18",1424
"94","20_06_18-3_5","18",66131.38421,66165.72383,63484.20682,120.4456887,119.9656353,108.7211719,"3","5",61,0,0,"20_06_18",1484
"119","21_07_17-9_5","17",60710.05226,60740.33062,63481.22207,118.269903,117.5742976,108.895358,"9","5",153,1,0,"21_07_17",1499
"19","12_07_17-9_5","17",58431.02177,58656.21919,56201.38242,117.4157203,116.5523234,108.9311251,"9","5",196,3,0,"12_07_17",1450
"79","19_07_17-9_5","17",60095.64411,60185.8861,60315.90911,118.2239767,117.432223,109.4668393,"9","5",112,1,0,"19_07_17",1549
"139","24_06_18-9_5","18",56887.46295,57094.70881,69383.13868,120.1455022,119.2550601,111.244335,"9","5",42,0,0,"24_06_18",1560
"179","26_06_18-9_5","18",72380.65208,72499.20714,62023.88978,121.1972395,120.4189354,111.7599728,"9","5",153,1,0,"26_06_18",1566
"159","25_06_18-9_5","18",60861.66705,61404.99078,64556.35324,120.6340977,119.7282087,111.9532315,"9","5",65,0,0,"25_06_18",1530
"199","27_06_18-9_5","18",55658.47131,56258.43958,69340.1017,121.1129006,120.1658378,112.590647,"9","5",84,3,0,"27_06_18",1505
"99","20_06_18-9_5","18",68813.83717,68973.81157,58870.81469,121.4436347,120.5840582,112.5946878,"9","5",108,1,0,"20_06_18",1543
