"","st.id","Year","ACI_BB","ACI_HF","ACI_Midrange","SPL_BB","SPL_HF","SPL_Midrange","Hour","Site","Tot_Knocks","Num_L_calls","Num_Herbivory","Date","Snaps"
"44","14_07_17-15_5","17",76920.85649,76865.78861,53567.13541,112.4301702,111.357697,102.0689501,"15","5",73,2,15,"14_07_17",1456
"74","19_07_17-3_5","17",64519.97398,64601.54792,51133.75941,117.635019,117.3574486,102.1005813,"3","5",98,3,0,"19_07_17",1458
"4","12_07_17-15_5","17",64458.82508,64525.58351,52841.89383,112.9327398,112.0258259,102.3868006,"15","5",181,6,8,"12_07_17",1486
"114","21_07_17-3_5","17",61172.09305,60963.63417,50524.5606,116.945409,116.5949822,102.5112703,"3","5",47,1,0,"21_07_17",1487
"49","14_07_17-21_5","17",63412.20703,63147.94768,54483.80791,112.4229006,111.2631575,102.7944556,"21","5",140,1,0,"14_07_17",1467
"54","14_07_17-3_5","17",70923.78548,70847.05653,51900.03496,116.9317302,116.5246765,103.8508397,"3","5",170,7,0,"14_07_17",1510
"29","13_07_17-21_5","17",63921.15681,63662.27264,51846.77526,116.080785,115.5745923,103.9094174,"21","5",98,3,1,"13_07_17",1415
"34","13_07_17-3_5","17",61794.29609,61841.46825,50618.96485,117.0319783,116.6337042,103.9127813,"3","5",129,6,0,"13_07_17",1512
"144","25_06_18-15_5","18",69823.00693,69764.91684,66180.59102,113.6475661,112.2914819,104.2156851,"15","5",54,6,0,"25_06_18",1441
"9","12_07_17-21_5","17",68323.40332,68059.21188,52766.6446,114.8013475,114.07603,104.2161732,"21","5",180,7,2,"12_07_17",1470
