,f.pressure,site,pub.site,area,f.level,smw.region,smw.fp,smw.prod,surveyed.2007,surveyed.2009,PMQ,notes,fish.prod,lat,lon,loc.year,lat_mpq,lon_mpq
1,High,1,H5,Captain cook,3,NOR,L,L,X,X,NA,NA,LowF/LowChl,1.99588,-157.35986,2009,1.99588,-157.35986
2,Low,2,L4,Captain cook,3,NOR,H,L,X,X,X,NA,HighF/LowChl,2.01156,-157.39442,2009,2.01156,-157.39442
3,Low,3,L1,North-west,5,NOR,H,L,X,X,X,NA,HighF/LowChl,2.0519,-157.45602,2009,2.0684,-157.45602
4,Low,4,L7,South bay,2,VAS,L,L,X,NA,NA,NA,LowF/LowChl,1.853,-157.507,2007,1.853,-157.507
5,Very low,5,VL3,South bay,2,VAS,L,L,X,NA,NA,NA,LowF/LowChl,1.84,-157.481,2007,1.84,-157.497
6,High,6,H4,Poland,4,POL,L,H,X,X,NA,NA,LowF/HighChl,1.86079,-157.55716,2009,1.85,-157.57
7,Medium,7,M8,Poland,2,POL,L,H,X,X,NA,NA,LowF/HighChl,1.84306,-157.53719,2009,1.84306,-157.53719
8,Medium,8,M1,South west,4,LON,L,H,X,NA,NA,NA,LowF/HighChl,1.886,-157.552,2007,1.898,-157.564
9,Low,9,L3,South west,4,LON,H,H,X,X,X,NA,HighF/HighChl,1.92581,-157.50996,2009,1.92581,-157.52646
10,Very low,10,VL6,Bay of wrecks,1,BOW,L,L,X,X,NA,NA,LowF/LowChl,1.94902,-157.30957,2009,1.94902,-157.30957
11,Very low,11,VL8,Bay of wrecks,1,BOW,L,L,X,NA,NA,NA,LowF/LowChl,1.914,-157.341,2007,1.914,-157.341
12,Medium,12,M6,South bay,2,VAS,L,L,X,X,NA,NA,LowF/LowChl,1.85165,-157.51447,2009,1.836,-157.51447
13,Medium,13,M7,South bay,2,VAS,L,L,X,NA,NA,NA,LowF/LowChl,1.848,-157.526,2007,1.848,-157.526
14,Medium,14,M4,South west/poland,4,POL,L,H,X,X,NA,NA,LowF/HighChl,1.87482,-157.56383,2009,1.87482,-157.56383
15,Very low,15,VL1,North wang,1,BOW,L,L,X,X,X,NA,LowF/LowChl,1.82843,-157.32182,2009,1.84243,-157.31182
16,Very low,16,VL11,North wang,1,BOW,L,L,X,X,NA,NA,LowF/LowChl,1.84793,-157.34068,2009,1.84793,-157.34068
17,Very low,17,VL13,North wang,1,NWA,L,L,X,X,NA,NA,LowF/LowChl,1.77606,-157.21608,2009,1.77606,-157.21608
18,Very low,18,VL9,North wang,1,NWA,L,L,X,X,NA,NA,LowF/LowChl,1.79129,-157.24971,2009,1.79129,-157.24971
