,CREDSpecies,CoarseFG,FineFG,Classifier,Date Classified,Reference,Notes
Acanthuridae,Acanthuridae sp,Herbivore,NA,MD,02/07/2013,,
Acanthuridae,Acanthurus achilles,Herbivore,Cropper,MD,28/06/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus achillesXnigricans hybrid= rackliffei,Herbivore,Cropper,MD,02/07/2013,,Determined by diet of â€œparentalâ€ù species
Acanthuridae,Acanthurus albipectoralis,Planktivore,Diurnal planktivore,MD,28/06/2013,Randall,
Acanthuridae,Acanthurus blochii,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus dussumieri,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus guttatus,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus leucocheilus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus leucopareius,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus lineatus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus maculiceps,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus mata,Planktivore,Diurnal planktivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus nigricans,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus nigricauda,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Acanthurus nigrofuscus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus nigroris,Herbivore,Cropper,MD,28/06/2013,Green and Bellwood,
Acanthuridae,Acanthurus nubilus,Planktivore,Diurnal planktivore,MD,02/07/2013,Randall,
Acanthuridae,Acanthurus olivaceus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus pyroferus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus sp,Herbivore,NA,MD,02/07/2013,,Majority of Acanthurus sp are herbivores â€“ make assumption
Acanthuridae,Acanthurus thompsoni,Planktivore,Diurnal planktivore,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus triostegus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Acanthurus xanthopterus,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Ctenochaetus binotatus,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus cyanocheilus,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus flavicauda,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus hawaiiensis,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus marginatus,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus sp,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Ctenochaetus striatus,Detritivore,Detritivore,MD,02/07/2013,Marshell and Mumby; Green and Bellwood,
Acanthuridae,Ctenochaetus strigosus,Detritivore,Detritivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Naso annulatus,Planktivore,Diurnal planktivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Naso brachycentron,Herbivore,Browser,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Naso brevirostris,Planktivore,Diurnal planktivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Naso caesius,Planktivore,Diurnal planktivore,MD,02/07/2013,Dayton,
Acanthuridae,Naso hexacanthus,Planktivore,Diurnal planktivore,MD,02/07/2013,Dayton,
Acanthuridae,Naso lituratus,Herbivore,Browser,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Naso sp,NA,NA,MD,02/07/2013,,Variety in the genus Naso â€“ cannot make assumptions
Acanthuridae,Naso tonganus,Herbivore,Browser,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Naso unicornis,Herbivore,Browser,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Naso vlamingii,Planktivore,Diurnal planktivore,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Paracanthurus hepatus,Herbivore/Planktivore,Browser/Diurnal planktivore,MD,02/07/2013,Randall; Green and Bellwood,
Acanthuridae,Zebrasoma flavescens,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Zebrasoma rostratum,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Zebrasoma scopas,Herbivore,Cropper,MD,02/07/2013,Green and Bellwood,
Acanthuridae,Zebrasoma veliferum,Herbivore,Cropper,MD,02/07/2013,Randall; Green and Bellwood,
Antennariidae,Antennarius commerson,Carnivore,Diurnal piscivore,MD,02/07/2013,Randall,
Apogonidae,Apogon angustatus,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Apogon apogonoides,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Apogon exostigma,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Apogon fraenatus,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Apogon kallopterus,Carnivore,Invertivore,MD,02/07/2013,Randall,
Apogonidae,Apogon maculiferus,Carnivore,Invertivore,MD,02/07/2013,Chave,
Apogonidae,Apogon novemfasciatus,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Apogon sp,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,Assume planktivore â€“ Randall's classification is broad
Apogonidae,Apogonidae sp,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,Assume planktivore â€“ Randall's classification is broad
Apogonidae,Archamia biguttata,Planktivore,Nocturnal planktivore,MD,02/07/2013,Randall,
Apogonidae,Cheilodipterus artus,Carnivore,Nocturnal piscivore,MD,02/07/2013,Marnane and Bellwood,
Apogonidae,Cheilodipterus macrodon,Carnivore,Nocturnal piscivore,MD,02/07/2013,Hoey et al,
Apogonidae,Cheilodipterus quinquelineatus,Carnivore,Generalist carnivore,MD,02/07/2013,Marnane and Bellwood,
Apogonidae,Cheilodipterus sp,NA,NA,MD,02/07/2013,,Variety in the genus â€“ cannot make assumption
Apogonidae,Ostorhinchus leslie,NA,NA,MD,02/07/2013,,No dietary data found
Atherinidae,Atherinomorus insularum,Planktivore,Nocturnal planktivore,MD,04/07/2013,Hobson,
Aulostomidae,Aulostomus chinensis,Carnivore,Diurnal piscivore,MD,02/07/2013,Randall,
Balistidae,Balistapus undulatus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Balistidae,Balistes polylepis,Carnivore,Invertivore,MD,04/07/2013,Randall,
Balistidae,Balistidae sp,Carnivore,Invertivore,MD,04/07/2013,,Assumed from genus
Balistidae,Balistoides conspicillum,Carnivore,Invertivore,MD,04/07/2013,Randall,
Balistidae,Balistoides viridescens,Carnivore,Invertivore,MD,04/07/2013,Randall,
Balistidae,Canthidermis maculata,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Balistidae,Melichthys niger,Omnivore,Pelagic omnivore,MD,04/07/2013,Randall,Feeds on zooplankton and algae
Balistidae,Melichthys vidua,Omnivore,Benthic omnivore,MD,04/07/2013,Randall,Benthic algae and inverts
Balistidae,Odonus niger,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Balistidae,Pseudobalistes flavimarginatus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Balistidae,Rhinecanthus aculeatus,Omnivore,Benthic omnivore,MD,04/07/2013,Randall,"Algae, detritus, benthic inverts"
Balistidae,Rhinecanthus lunula,Omnivore,Benthic omnivore,MD,04/07/2013,,"No dietary data found, assumed from rest of family"
Balistidae,Rhinecanthus rectangulus,Omnivore,Benthic omnivore,MD,04/07/2013,Randall,"Algae, detritus, benthic inverts"
Balistidae,Sufflamen bursa,Omnivore,Benthic omnivore,MD,04/07/2013,,"Algae, detritus, benthic inverts, damselfish"
Balistidae,Sufflamen chrysopterum,Carnivore,Invertivore,MD,04/07/2013,Myers,
Balistidae,Sufflamen fraenatum,Carnivore,Generalist carnivore,MD,28/06/2013,Randall,Benthic inverts and fishes
Balistidae,Xanthichthys auromarginatus,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Balistidae,Xanthichthys caeruleolineatus,Planktivore,Diurnal planktivore,MD,04/07/2013,,Assumed from genus
Balistidae,Xanthichthys mento,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Belonidae,Belonidae sp,Carnivore,Nocturnal piscivore,MD,05/07/2013,,
Belonidae,Platybelone argalus,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Belonidae,Tylosurus crocodilus,Carnivore,Nocturnal piscivore,MD,05/07/2013,Randall,
Blenniidae,Aspidontus taeniatus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Mimics cleaner wrasse, bites off pieces of skin"
Blenniidae,Blenniella chrysospilos,Herbivore,Cropper,MD,04/07/2013,Springer and Williams,Feeds algae and associated detritus and inverts
Blenniidae,Blenniidae sp,Herbivore,Cropper,MD,04/07/2013,Randall,Assumed from other members of family
Blenniidae,Cirripectes obscurus,Herbivore,Cropper,MD,04/07/2013,Randall,Assumed from genus
Blenniidae,Cirripectes polyzona,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Cirripectes sp,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Cirripectes springeri,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Cirripectes stigmaticus,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Cirripectes vanderbilti,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Cirripectes variolosus,Herbivore,Cropper,MD,04/07/2013,Randall,
Blenniidae,Ecsenius bicolor,Planktivore,Diurnal planktivore,MD,04/07/2013,Myers,
Blenniidae,Ecsenius midas,Planktivore,Diurnal planktivore,MD,04/07/2013,Myers,
Blenniidae,Ecsenius monoculus,Herbivore,Cropper,MD,04/07/2013,FishBase,
Blenniidae,Ecsenius opsifrontalis,Herbivore,Cropper,MD,04/07/2013,FishBase,
Blenniidae,Exallias brevis,Carnivore,Corallivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Meiacanthus atrodorsalis,Carnivore,Invertivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Parablennius marmoratus,Omnivore,Benthic omnivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Plagiotremus ewaensis,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Plagiotremus goslinei,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Plagiotremus laudandus laudandus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Plagiotremus rhinorhynchos,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Blenniidae,Plagiotremus tapeinosoma,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,"Consumes mucus, skin tissue, scales"
Bothidae,Bothus mancus,Carnivore,Nocturnal piscivore,MD,04/07/2013,FishBase,
Caesionidae,Caesio caerulaurea,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Caesionidae,Caesio lunaris,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Caesionidae,Caesio teres,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Caesionidae,Pterocaesio marri,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Caesionidae,Pterocaesio tile,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
Caracanthidae,Caracanthus maculatus,Carnivore,NA,MD,04/07/2013,,No dietary data found
Caracanthidae,Caracanthus typicus,Carnivore,NA,MD,04/07/2013,,No dietary data found
Carangidae,Carangidae sp,Carnivore,NA,MD,04/07/2013,Randall,
Carangidae,Carangoides ferdau,Carnivore,Invertivore,MD,04/07/2013,Randall,
Carangidae,Carangoides orthogrammus,Carnivore,Invertivore,MD,04/07/2013,Randall,
Carangidae,Caranx ignobilis,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Carangidae,Caranx lugubris,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Carangidae,Caranx melampygus,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,
Carangidae,Caranx papuensis,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,Assumed from genus
Carangidae,Caranx sexfasciatus,Carnivore,Nocturnal piscivore,MD,04/07/2013,Randall,
Carangidae,Caranx sp,Carnivore,Diurnal piscivore,MD,04/07/2013,Randall,Assumed from genus
Carangidae,Decapterus macarellus,Planktivore,Diurnal planktivore,MD,04/07/2013,Randall,
