KI Date,Site,Observer,Transect,Species Code,Species,Size (cm),Number,"Sexual Phase (TP, IP, juv)",Time,Depth,Slope,Note
14_06_2018,32,SF,1,,Pseudanthias bartlettorum,6,13,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pseudanthias cooperi,6,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pseudanthias cooperi,4,2,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pseudanthias dispar,7,4,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pseudanthias dispar,5,35,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Paracirrhites arcatus,7,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Paracirrhites forsteri,7,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,5,4,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,5,25,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,6,10,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,6,114,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,6,170,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus apogonides,5,90,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Ostorhinchus angustatus,7,3,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pterocaesio tile,6,75,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Gnathodentex aureolineatus,6,5,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Gnathodentex aureolineatus,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chaetodon kleinii,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chaetodon meyeri,13,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chaetodon ornatissimus,12,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chaetodon bennetti,5,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chromis margaritifer,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Chromis margaritifer,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Plectroglyphidodon imparipennis,3,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Plectroglyphidodon johnstonianus,5,3,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Plectroglyphidodon johnstonianus,5,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pomacentrus coelestis,3,3,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pomacentrus coelestis,3,5,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pomacentrus coelestis,4,74,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Pomacentrus coelestis,4,23,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Halichoeres marginatus,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Labroides dimidiatus,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Labroides dimidiatus,6,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Labroides dimidiatus,6,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Oxycheilinus unifasciatus,23,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Thalassoma lutescens,11,1,IP,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Thalassoma quinquevittatum,5,1,Juv,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Scarus psittacus,25,1,TP,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Acanthurus nigroris,5,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Melichthys vidua,21,2,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Melichthys vidua,20,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Odonus niger,20,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Mulloidichthys mimicus,3,5,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Mulloidichthys mimicus,3,18,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Mulloidichthys mimicus,4,70,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Mulloidichthys mimicus,4,3,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Parupeneus insularis,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Parupeneus insularis,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Parupeneus insularis,4,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Arothron meleagris,8,1,,1752,10.5,1,Training 
14_06_2018,32,SF,1,,Cantherhines pardalis,20,1,,1752,10.5,1,Training 
15_06_2018,38,SF,1,,Cephalopholis argus,25,1,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Paracirrhites arcatus,6,1,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Pterocaesio tile,40,4,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Chaetodon kleinii,8,1,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Stegastes aureus,10,3,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Chromis acares,3,150,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Chromis acares,3,110,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Chromis vanderbilti,4,400,,752,9.8,1,Training 
15_06_2018,38,SF,1,,Chromis vanderbilti,3,100,,752,9.8,1,Training 
